Nadia Trusova_biology:[5, 4, 1, 3, 4, 1, 2]*chemistry:[5, 5, 1, 3, 2, 4]*magic:[2, 1, 3, 3, 1]*literature:[4, 1, 2, 3, 5]*cs:[2, 5, 3, 2, 5]*sport:[5, 1, 1, 2, 2]*
Bill Gates_biology:[4, 5, 2, 1, 1, 2, 2]*chemistry:[3, 1, 5, 3, 1, 4]*magic:[3, 4, 3, 1, 5]*literature:[2, 1, 1, 1, 3]*cs:[5, 2, 2, 5, 4]*sport:[1, 1, 4, 3, 2]*
Maria Winter_biology:[4, 3, 4, 3, 3]*chemistry:[2, 3, 2, 5, 2]*magic:[1, 3, 3, 4, 2]*literature:[4, 3, 1, 4, 4]*cs:[5, 3, 1, 2, 1]*sport:[5, 4, 3, 2, 3]*
Robert Dorwood_biology:[1, 1, 1, 3, 5]*chemistry:[3, 5, 3, 3, 4]*magic:[1, 5, 5, 1, 3]*literature:[5, 4, 1, 4, 5]*cs:[1, 5, 4, 3, 1]*sport:[2, 1, 1, 5, 3]*
Alise Green_biology:[5, 4, 1, 4, 1]*chemistry:[4, 2, 2, 1, 5]*magic:[5, 4, 3, 4, 1]*literature:[2, 4, 3, 3, 1]*cs:[4, 3, 3, 5, 4]*sport:[4, 4, 1, 2, 5]*
Bill White_biology:[3, 2, 3, 5, 5]*chemistry:[5, 4, 2, 5, 3]*magic:[3, 1, 1, 2, 5]*literature:[1, 3, 4, 4, 5]*cs:[5, 3, 2, 3, 1]*sport:[3, 5, 4, 4, 3]*
Ketty Red_biology:[5, 4, 5, 2, 4]*chemistry:[4, 3, 3, 1, 1]*magic:[3, 1, 3, 3, 2]*literature:[4, 2, 1, 1, 5]*cs:[1, 5, 2, 4, 4]*sport:[2, 4, 5, 1, 4]*
Anastasia Summer_biology:[2, 4, 5, 4, 5]*chemistry:[1, 4, 3, 5, 3]*magic:[4, 3, 1, 5, 2]*literature:[4, 5, 1, 1, 1]*cs:[3, 5, 5, 2, 2]*sport:[1, 4, 3, 1, 5]*
Alise White_biology:[3, 3, 4, 3, 3]*chemistry:[5, 5, 4, 5, 5]*magic:[3, 2, 3, 4, 2]*literature:[4, 4, 3, 1, 1]*cs:[2, 3, 5, 2, 3]*sport:[4, 3, 1, 3, 1]*
Anastasia Brown_biology:[3, 5, 3, 1, 3]*chemistry:[5, 4, 3, 5, 5]*magic:[1, 3, 1, 1, 4]*literature:[5, 3, 4, 3, 2]*cs:[4, 5, 4, 3, 2]*sport:[5, 1, 3, 2, 5]*
Ken Night_biology:[3, 4, 5, 5, 2]*chemistry:[2, 4, 2, 3, 5]*magic:[1, 2, 3, 2, 3]*literature:[2, 2, 3, 5, 1]*cs:[5, 2, 3, 5, 1]*sport:[3, 3, 4, 1, 4]*
Robert White_biology:[3, 2, 1, 2, 4]*chemistry:[3, 5, 5, 2, 4]*magic:[1, 2, 4, 1, 1]*literature:[4, 2, 1, 2, 3]*cs:[1, 1, 4, 5, 4]*sport:[5, 4, 2, 1, 3]*
Bill Summer_biology:[3, 5, 3, 1, 1]*chemistry:[2, 2, 2, 4, 2]*magic:[2, 2, 5, 5, 1]*literature:[2, 2, 1, 1, 1]*cs:[5, 5, 2, 3, 3]*sport:[5, 5, 1, 5, 2]*
Luk Snow_biology:[5, 5, 3, 4, 2]*chemistry:[2, 4, 2, 3, 1]*magic:[1, 1, 2, 2, 2]*literature:[4, 3, 1, 4, 4]*cs:[4, 2, 1, 1, 4]*sport:[2, 5, 1, 2, 3]*
Anastasia Dorwood_biology:[1, 2, 5, 4, 5]*chemistry:[3, 5, 2, 3, 5]*magic:[5, 2, 3, 2, 4]*literature:[3, 1, 2, 4, 5]*cs:[1, 5, 2, 1, 5]*sport:[1, 5, 3, 3, 3]*
Anna Night_biology:[4, 5, 3, 4, 2]*chemistry:[5, 5, 5, 2, 1]*magic:[1, 2, 2, 5, 2]*literature:[3, 5, 2, 2, 3]*cs:[5, 1, 2, 5, 2]*sport:[4, 5, 4, 4, 4]*
